ID,NAME,WEIGHT,CAP,WATER STATUS,STATION,SETUP TIME,READY DATETIME,Latitude,Longitude,DistanceKm,LAT,LNG,KM
B_087,ปอร์เช่ 12,400,3300,SEA,ST_001,20,2024-01-28 05:10:00,13.1885,100.815,39,13.1885,100.815,39
B_088,ปอร์เช่ 16,400,3150,SEA,ST_001,20,2024-01-17 07:30:00,13.1885,100.815,39,13.1885,100.815,39
B_089,ปอร์เช่ 17,400,3150,SEA,ST_001,20,2024-01-20 07:50:00,13.1885,100.815,39,13.1885,100.815,39
B_090,ปอร์เช่ 18,400,3150,SEA,ST_001,20,2024-02-06 09:30:00,13.1885,100.815,39,13.1885,100.815,39
B_091,ปอร์เช่ 19,400,3150,SEA,ST_001,20,2024-01-19 07:20:00,13.1885,100.815,39,13.1885,100.815,39
B_092,ปอร์เช่ 20,400,3150,SEA,ST_001,20,2024-01-16 10:45:00,13.1885,100.815,39,13.1885,100.815,39
B_093,ปอร์เช่ 21,400,3150,SEA,ST_001,20,2024-02-03 08:40:00,13.1885,100.815,39,13.1885,100.815,39
B_094,ปอร์เช่ 23,400,3150,SEA,ST_001,20,2024-02-04 08:40:00,13.1885,100.815,39,13.1885,100.815,39
B_095,ปอร์เช่ 24,400,3150,SEA,ST_001,20,2024-01-19 08:50:00,13.1885,100.815,39,13.1885,100.815,39
B_096,ปอร์เช่ 25,400,3150,SEA,ST_001,20,2024-01-19 07:15:00,13.1885,100.815,39,13.1885,100.815,39
B_097,เอาดี้ 01,400,2750,SEA,ST_001,20,2024-02-01 09:10:00,13.1885,100.815,39,13.1885,100.815,39
B_098,เอาดี้ 02,400,2750,SEA,ST_001,20,2024-02-01 07:30:00,13.1885,100.815,39,13.1885,100.815,39
B_099,เอาดี้ 03,400,2750,SEA,ST_001,20,2024-01-21 08:40:00,13.1885,100.815,39,13.1885,100.815,39
B_100,เอาดี้ 04,400,2750,SEA,ST_001,20,2024-01-18 07:30:00,13.1885,100.815,39,13.1885,100.815,39
B_101,เอาดี้ 05,400,2750,SEA,ST_001,20,2024-01-20 09:00:00,13.1885,100.815,39,13.1885,100.815,39
B_102,เอาดี้ 07,400,2750,SEA,ST_001,20,2024-02-15 06:25:00,13.1885,100.815,39,13.1885,100.815,39
