ID,type,name,enter_datetime,start_arrival_datetime,exit_datetime,rest_time,distance,time,speed,type_point,order_trip,barge_ids,total_load,total_load_v2,order_distance,order_time,barge_speed,order_arrival_time,travel_info,station_id,tugboat_id,order_id,water_type
Start,Start,Start at ST_014,2025-02-03 20:15:28.965517,2025-02-03 20:15:28.965517,2025-02-03 20:15:28.965517,0.0,0.0,0.0,0.0,main_point,1,,0,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_012,Sea
Barge,Barge Collection,Barge Location,2025-02-03 20:15:28.965517,2025-02-03 20:15:28.965517,2025-02-04 13:00:00.000000,0.0,63.0,0.0,12.0,main_point,1,"B_075,B_089,B_031",1200,0,0.0,0,0,2025-02-04 13:10:00,"{'travel_time': 0.0, 'last_location': (13.1885, 100.815), 'speed': 0, 'start_object': <CodeVS.components.carrier.Carrier object at 0x000001D4A26FA3F0>, 'travel_distance': 0.0, 'travel_steps': [<CodeVS.operations.travel_helper.TravelStep object at 0x000001D4A2523F80>], 'exit_datetime': datetime.datetime(2025, 2, 4, 13, 0)}",ST_014,SeaTB_04,ODR_012,Sea
Barge,Barge Step Collection,Collecting Barge - B_075 - (ST_014 to ST_001),2025-02-03 20:15:28.965517,2025-02-03 20:35:28.965517,2025-02-04 01:50:28.965517,0.3333333333333333,63.0,5.25,12.0,travel_point,1,B_075,400,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
Barge,Barge Step Collection,Collecting Barge - B_089 - (ST_001 to ST_001),2025-02-04 01:50:28.965517,2025-02-04 02:10:28.965517,2025-02-04 02:10:28.965517,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_075,B_089",800,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
Barge,Barge Step Collection,Collecting Barge - B_031 - (ST_001 to ST_001),2025-02-04 02:10:28.965517,2025-02-04 02:30:28.965517,2025-02-04 02:30:28.965517,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_075,B_089,B_031",1200,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
ODR_012,Travel To Carrier,TRUONG AN 05,2025-02-04 13:00:00.000000,2025-02-04 13:00:00.000000,2025-02-04 13:00:00.000000,0.0,0.0,0.0,0.0,main_point,1,"B_075,B_089,B_031",0,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
Travel,Sea-Sea,ST_001 to ST_001,2025-02-04 13:00:00.000000,2025-02-04 13:00:00.000000,2025-02-04 13:00:00.000000,0.0,0.0,0.0,9.303703703703704,travel_point,1,"B_075,B_089,B_031",0,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
ODR_012,Start Order Carrier,TRUONG AN 05,2025-02-04 13:00:00.000000,2025-02-04 13:00:00.000000,2025-02-05 01:30:00.000000,0.0,0.0,0.0,0.0,main_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
ODR_012,Crane-Carrier,cr3 - B_089,2025-02-04 13:10:00.000000,2025-02-04 13:10:00.000000,2025-02-05 01:16:55.384615,0.0,0.0,12.115384615384615,260.0,loading_point,1,B_089,3150,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
ODR_012,Crane-Carrier,cr4 - B_075,2025-02-04 13:10:00.000000,2025-02-04 13:10:00.000000,2025-02-04 22:46:55.384615,0.0,0.0,9.615384615384615,260.0,loading_point,1,B_075,2500,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
ODR_012,Crane-Carrier,cr5 - B_031,2025-02-04 13:10:00.000000,2025-02-04 13:10:00.000000,2025-02-04 15:05:23.076923,0.0,0.0,1.9230769230769231,260.0,loading_point,1,B_031,500,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
ST_014,Appointment,From TRUONG AN 05 To Bang Hua Suea,2025-02-05 01:30:00.000000,2025-02-05 01:30:00.000000,2025-02-06 01:54:17.663945,0.0,62.21893992770459,7.991966593948734,7.785185185185185,main_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_001 to ST_005,2025-02-05 01:30:00.000000,2025-02-05 01:30:00.000000,2025-02-05 06:24:33.077835,0.0,38.21893992770459,4.909188287573853,7.785185185185185,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_012,Sea
Travel,Sea-River,stop at ST_005,2025-02-05 06:24:33.077835,2025-02-05 22:49:19.662041,2025-02-05 22:49:19.662041,16.412940057222222,0.0,0.0,0.0,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_005,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_005 to ST_006,2025-02-05 22:49:19.662041,2025-02-05 22:49:19.662041,2025-02-06 00:14:06.246247,0.0,11.0,1.4129400570884871,0.0,water_level_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_005,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_006 to ST_007,2025-02-06 00:14:06.246247,2025-02-06 00:14:06.246247,2025-02-06 00:29:31.079739,0.0,2.0,0.25689819219790677,7.785185185185185,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_006,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_007 to ST_008,2025-02-06 00:29:31.079739,2025-02-06 00:29:31.079739,2025-02-06 00:44:55.913231,0.0,2.0,0.25689819219790677,7.785185185185185,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_007,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_008 to ST_009,2025-02-06 00:44:55.913231,2025-02-06 00:44:55.913231,2025-02-06 00:52:38.329977,0.0,1.0,0.12844909609895339,7.785185185185185,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_008,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_009 to ST_010,2025-02-06 00:52:38.329977,2025-02-06 00:52:38.329977,2025-02-06 01:23:27.996961,0.0,4.0,0.5137963843958135,7.785185185185185,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_009,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_010 to ST_011,2025-02-06 01:23:27.996961,2025-02-06 01:23:27.996961,2025-02-06 01:31:10.413707,0.0,1.0,0.12844909609895339,7.785185185185185,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_010,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_011 to ST_012,2025-02-06 01:31:10.413707,2025-02-06 01:31:10.413707,2025-02-06 01:38:52.830453,0.0,1.0,0.12844909609895339,7.785185185185185,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_011,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_012 to ST_013,2025-02-06 01:38:52.830453,2025-02-06 01:38:52.830453,2025-02-06 01:46:35.247199,0.0,1.0,0.12844909609895339,7.785185185185185,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_012,SeaTB_04,ODR_012,Sea
Travel,Sea-River,ST_013 to ST_014,2025-02-06 01:46:35.247199,2025-02-06 01:46:35.247199,2025-02-06 01:54:17.663945,0.0,1.0,0.12844909609895339,7.785185185185185,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_013,SeaTB_04,ODR_012,Sea
ST_014,Barge Release,Release Barges (B_075 - B_089 - B_031),2025-02-06 01:54:17.663945,2025-02-06 01:54:17.663945,2025-02-06 03:24:17.663945,0.0,0.0,90.0,0.0,main_point,1,,0,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_012,Sea
Travel,Barge Step Release,Barge Releasing (B_075),2025-02-06 01:54:17.663945,2025-02-06 01:54:17.663945,2025-02-06 02:24:17.663945,0.0,0.0,0.5,0.0,release_point,1,"B_089,B_031",3650,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_012,Sea
Travel,Barge Step Release,Barge Releasing (B_089),2025-02-06 02:24:17.663945,2025-02-06 02:24:17.663945,2025-02-06 02:54:17.663945,0.0,0.0,0.5,0.0,release_point,1,B_031,500,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_012,Sea
Travel,Barge Step Release,Barge Releasing (B_031),2025-02-06 02:54:17.663945,2025-02-06 02:54:17.663945,2025-02-06 03:24:17.663945,0.0,0.0,0.5,0.0,release_point,1,,0,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_012,Sea
Start,Start,River Start at ST_014,2025-02-06 01:45:00.000000,2025-02-06 01:45:00.000000,2025-02-06 01:45:00.000000,0.0,0.0,0.0,0.0,main_point,1,,0,0,0.0,0,0,0,,ST_014,RiverTB_11,ODR_012,River
ST_014,Barge Change,Change at Bang Hua Suea,2025-02-06 02:45:00.000000,2025-02-06 02:45:00.000000,2025-02-06 03:45:00.000000,0.0,0.0,0.0,12.0,main_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_014,RiverTB_11,ODR_012,River
Barge,Barge Change Collection,Change Barge - B_075 - (ST_014 to ST_014),2025-02-06 02:45:00.000000,2025-02-06 02:45:00.000000,2025-02-06 03:05:00.000000,0.0,0.0,0.0,0.0,travel_point,1,B_075,2500,0,0.0,0,0,0,,ST_014,RiverTB_11,ODR_012,River
Barge,Barge Change Collection,Change Barge - B_089 - (ST_014 to ST_014),2025-02-06 03:05:00.000000,2025-02-06 03:05:00.000000,2025-02-06 03:25:00.000000,0.0,0.0,0.0,0.0,travel_point,1,"B_075,B_089",5650,0,0.0,0,0,0,,ST_014,RiverTB_11,ODR_012,River
Barge,Barge Change Collection,Change Barge - B_031 - (ST_014 to ST_014),2025-02-06 03:25:00.000000,2025-02-06 03:25:00.000000,2025-02-06 03:45:00.000000,0.0,0.0,0.0,0.0,travel_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_014,RiverTB_11,ODR_012,River
ST_013,Customer Station,From Bang Hua Suea To Thai Silo,2025-02-06 03:45:00.000000,2025-02-06 03:45:00.000000,2025-02-06 20:07:49.618950,0.0,1.0,0.13044970820460008,7.66578947368421,main_point,1,"B_075,B_089,B_031",6150,0,0.0,0,0,0,,ST_014,RiverTB_11,ODR_012,River
