ID,type,name,enter_datetime,exit_datetime,distance,time,speed,order_distance,order_time,barge_speed,order_arrival_time,tugboat_id,order_id,water_type
Start,Start,Start,00:00.0,1/23/2025 9:00,0,0,0,,,,,tbr8,o3,River
s2,Barge Change,3-Bang Hua Suea Pier,00:00.0,1/23/2025 11:00,0,0,10,,,,,tbr8,o3,River
s12,Customer Station,Wat Chang Yai,20:00.0,1/28/2025 10:00,83,,6.225,,,,,tbr8,o3,River
Start,Start,Start,15:00.0,1/24/2025 6:15,0,0,0,,,,,tbr9,o3,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/24/2025 8:15,0,0,9.5,,,,,tbr9,o3,River
s12,Customer Station,Wat Chang Yai,55:51.9,1/29/2025 7:15,83,,5.653532609,,,,,tbr9,o3,River
Start,Start,Start,15:00.0,1/25/2025 2:15,0,0,0,,,,,tbr10,o3,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/25/2025 4:15,0,0,9.6,,,,,tbr10,o3,River
s12,Customer Station,Wat Chang Yai,08:20.0,1/30/2025 3:15,83,,5.976,,,,,tbr10,o3,River
Start,Start,Start,15:00.0,1/25/2025 7:15,0,0,0,,,,,tbr11,o3,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/25/2025 9:15,0,0,9.7,,,,,tbr11,o3,River
s12,Customer Station,Wat Chang Yai,07:18.0,1/30/2025 22:00,83,,5.983423913,,,,,tbr11,o3,River
Start,Start,Start,15:00.0,1/20/2025 15:15,0,0,0,,,,,tbr12,o3,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/20/2025 17:15,17,1.734693878,9.8,,,,,tbr12,o3,River
s12,Customer Station,Wat Chang Yai,51:19.6,1/31/2025 18:00,83,,6.1005,,,,,tbr12,o3,River
Start,Start,Start,15:00.0,1/20/2025 15:15,0,0,0,,,,,tbr13,o3,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/20/2025 17:15,7,0.707070707,9.9,,,,,tbr13,o3,River
s12,Customer Station,Wat Chang Yai,05:06.8,2/1/2025 14:00,83,,5.999184783,,,,,tbr13,o3,River
Start,Start,Start,45:00.0,1/20/2025 17:45,0,0,0,,,,,tbr14,o3,River
s2,Barge Change,3-Bang Hua Suea Pier,45:00.0,1/20/2025 19:45,162.6564286,16.26564286,10,,,,,tbr14,o3,River
s12,Customer Station,Wat Chang Yai,04:35.5,2/2/2025 11:15,100,,6.125,,,,,tbr14,o3,River
