ID,type,name,enter_datetime,start_arrival_datetime,exit_datetime,rest_time,distance,time,speed,type_point,order_trip,barge_ids,total_load,total_load_v2,order_distance,order_time,barge_speed,order_arrival_time,travel_info,station_id,tugboat_id,order_id,water_type
Start,Start,Start at ST_014,2025-02-02 22:15:00.000000,2025-02-02 22:15:00.000000,2025-02-02 22:15:00.000000,0.0,0.0,0.0,0.0,main_point,1,,0,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_011,Sea
Barge,Barge Collection,Barge Location,2025-02-02 22:15:00.000000,2025-02-02 22:15:00.000000,2025-02-03 16:15:00.000000,0.0,63.0,0.0,12.0,main_point,1,"B_075,B_089,B_031,B_025",1600,0,0.0,0,0,2025-02-03 16:20:00,"{'travel_time': 0.0, 'last_location': (13.1885, 100.815), 'speed': 0, 'start_object': <CodeVS.components.carrier.Carrier object at 0x000001B74357CAD0>, 'travel_distance': 0.0, 'travel_steps': [<CodeVS.operations.travel_helper.TravelStep object at 0x000001B7451C64B0>], 'exit_datetime': datetime.datetime(2025, 2, 3, 16, 15)}",ST_014,SeaTB_04,ODR_011,Sea
Barge,Barge Step Collection,Collecting Barge - B_075 - (ST_014 to ST_001),2025-02-02 22:15:00.000000,2025-02-02 22:35:00.000000,2025-02-03 03:50:00.000000,0.3333333333333333,63.0,5.25,12.0,travel_point,1,B_075,400,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
Barge,Barge Step Collection,Collecting Barge - B_089 - (ST_001 to ST_001),2025-02-03 03:50:00.000000,2025-02-03 04:10:00.000000,2025-02-03 04:10:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_075,B_089",800,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
Barge,Barge Step Collection,Collecting Barge - B_031 - (ST_001 to ST_001),2025-02-03 04:10:00.000000,2025-02-03 04:30:00.000000,2025-02-03 04:30:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_075,B_089,B_031",1200,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
Barge,Barge Step Collection,Collecting Barge - B_025 - (ST_001 to ST_001),2025-02-03 04:30:00.000000,2025-02-03 04:50:00.000000,2025-02-03 04:50:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_075,B_089,B_031,B_025",1600,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
ODR_011,Travel To Carrier,MYTHOS,2025-02-03 16:15:00.000000,2025-02-03 16:15:00.000000,2025-02-03 16:15:00.000000,0.0,0.0,0.0,0.0,main_point,1,"B_075,B_089,B_031,B_025",0,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
Travel,Sea-Sea Empty Barges,ST_001 to ST_001,2025-02-03 16:15:00.000000,2025-02-03 16:15:00.000000,2025-02-03 16:15:00.000000,0.0,0.0,0.0,8.4144578313253,travel_point,1,"B_075,B_089,B_031,B_025",0,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
ODR_011,Start Order Carrier,MYTHOS,2025-02-03 16:15:00.000000,2025-02-03 16:15:00.000000,2025-02-04 04:00:00.000000,0.0,0.0,0.0,0.0,main_point,1,"B_075,B_089,B_031,B_025",11150,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
ODR_011,Crane-Carrier,cr7 - B_089,2025-02-03 16:20:00.000000,2025-02-03 16:20:00.000000,2025-02-04 04:00:00.000000,0.0,0.0,11.666666666666666,270.0,loading_point,1,B_089,3150,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
ODR_011,Crane-Carrier,cr2 - B_031,2025-02-03 16:20:00.000000,2025-02-03 16:20:00.000000,2025-02-04 03:56:00.000000,0.0,0.0,11.6,250.0,loading_point,1,B_031,2900,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
ODR_011,Crane-Carrier,cr6 - B_025,2025-02-03 16:20:00.000000,2025-02-03 16:20:00.000000,2025-02-04 02:44:00.000000,0.0,0.0,10.4,250.0,loading_point,1,B_025,2600,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
ODR_011,Crane-Carrier,cr3 - B_075,2025-02-03 16:20:00.000000,2025-02-03 16:20:00.000000,2025-02-04 02:45:00.000000,0.0,0.0,10.416666666666666,240.0,loading_point,1,B_075,2500,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
ST_014,Appointment,From MYTHOS To Bang Hua Suea,2025-02-04 04:00:00.000000,2025-02-04 04:00:00.000000,2025-02-05 02:51:46.056481,0.0,62.21893992770459,10.86279346655339,5.727710843373494,main_point,1,"B_075,B_089,B_031,B_025",11150,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_011,Sea
