ID,type,name,enter_datetime,exit_datetime,rest_time,start_arrival_datetime,distance,time,speed,type_point,barge_ids,total_load,total_load_v2,order_distance,barge_speed,order_arrival_time,tugboat_id,order_id,water_type
Travel,Sea-River,ST_012 to ST_013,2025-01-23 01:51:05.310228,2025-01-23 02:00:09.413300,0.0,2025-01-23 01:51:05.310228,1.0,0.15113974231912786,6.61639344262295,travel_point,"B_009,B_034,B_076",7900,0,0.0,0.0,0,SeaTB_02,ODR_001,Sea
Travel,Sea-River,ST_013 to ST_014,2025-01-23 02:00:09.413300,2025-01-23 02:09:13.516372,0.0,2025-01-23 02:00:09.413300,1.0,0.15113974231912786,6.61639344262295,travel_point,"B_009,B_034,B_076",7900,0,0.0,0.0,0,SeaTB_02,ODR_001,Sea
ST_014,Barge Release,Release Barges (B_009 - B_034 - B_076),2025-01-23 02:09:13.516372,2025-01-23 03:39:13.516372,0.0,2025-01-23 02:09:13.516372,0.0,90.0,0.0,main_point,,0,0,0.0,0.0,0,SeaTB_02,ODR_001,Sea
Travel,Barge Step Release,Barge Releasing (B_009),2025-01-23 02:09:13.516372,2025-01-23 02:39:13.516372,0.0,2025-01-23 02:09:13.516372,0.0,0.5,0.0,release_point,"B_034,B_076",5750,0,0.0,0.0,0,SeaTB_02,ODR_001,Sea
Travel,Barge Step Release,Barge Releasing (B_034),2025-01-23 02:39:13.516372,2025-01-23 03:09:13.516372,0.0,2025-01-23 02:39:13.516372,0.0,0.5,0.0,release_point,B_076,2500,0,0.0,0.0,0,SeaTB_02,ODR_001,Sea
Travel,Barge Step Release,Barge Releasing (B_076),2025-01-23 03:09:13.516372,2025-01-23 03:39:13.516372,0.0,2025-01-23 03:09:13.516372,0.0,0.5,0.0,release_point,,0,0,0.0,0.0,0,SeaTB_02,ODR_001,Sea
Start,Start,Start at ST_014,2025-01-18 22:15:00.000000,2025-01-18 22:15:00.000000,0.0,2025-01-18 22:15:00.000000,0.0,0.0,0.0,main_point,,0,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
Barge,Barge Collection,Barge Location,2025-01-18 22:15:00.000000,2025-01-21 09:20:00.000000,0.0,2025-01-18 22:15:00.000000,66.5,0.0,12.0,main_point,"B_065,B_059,B_064,B_101,B_042",2000,0,0.0,0.0,2025-01-19 17:50:00,SeaTB_05,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_065 - (ST_014 to ST_001),2025-01-20 07:50:00.000000,2025-01-20 13:22:30.000000,0.0,2025-01-20 07:50:00.000000,66.5,5.541666666666667,12.0,travel_point,B_065,400,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_059 - (ST_001 to ST_001),2025-01-21 08:00:00.000000,2025-01-21 08:00:00.000000,0.0,2025-01-21 08:00:00.000000,0.0,0.0,0.0,travel_point,"B_065,B_059",800,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_064 - (ST_001 to ST_001),2025-01-21 08:20:00.000000,2025-01-21 08:20:00.000000,0.0,2025-01-21 08:20:00.000000,0.0,0.0,0.0,travel_point,"B_065,B_059,B_064",1200,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_101 - (ST_001 to ST_001),2025-01-21 08:40:00.000000,2025-01-21 08:40:00.000000,0.0,2025-01-21 08:40:00.000000,0.0,0.0,0.0,travel_point,"B_065,B_059,B_064,B_101",1600,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_042 - (ST_001 to ST_001),2025-01-21 09:00:00.000000,2025-01-21 09:00:00.000000,0.0,2025-01-21 09:00:00.000000,0.0,0.0,0.0,travel_point,"B_065,B_059,B_064,B_101,B_042",2000,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
ODR_001,Start Order Carrier,SPAR CORONA,2025-01-21 09:20:00.000000,2025-01-22 15:30:00.000000,0.0,2025-01-21 09:20:00.000000,0.0,0.0,0.0,main_point,"B_065,B_059,B_064,B_101,B_042",13000,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
ODR_001,Crane-Carrier,cr7 - B_042,2025-01-21 23:00:00.000000,2025-01-22 10:06:40.000000,0.0,2025-01-21 23:00:00.000000,0.0,11.11111111111111,270.0,loading_point,B_042,3000,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
ODR_001,Crane-Carrier,cr5 - B_101,2025-01-21 23:00:00.000000,2025-01-22 09:34:36.923077,0.0,2025-01-21 23:00:00.000000,0.0,10.576923076923077,260.0,loading_point,B_101,2750,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
ODR_001,Crane-Carrier,cr6 - B_065,2025-01-21 23:00:00.000000,2025-01-22 09:25:00.000000,0.0,2025-01-21 23:00:00.000000,0.0,10.416666666666666,240.0,loading_point,B_065,2500,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
ODR_001,Crane-Carrier,cr4 - B_064,2025-01-21 23:00:00.000000,2025-01-22 10:54:17.142857,0.0,2025-01-21 23:00:00.000000,0.0,11.904761904761905,210.0,loading_point,B_064,2500,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
ODR_001,Crane-Carrier,cr1 - B_059,2025-01-22 06:57:46.666667,2025-01-22 15:17:46.666667,0.0,2025-01-22 06:57:46.666667,0.0,8.333333333333334,270.0,loading_point,B_059,2250,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
ST_014,Appointment,From SPAR CORONA To Bang Hua Suea,2025-01-22 15:30:00.000000,2025-01-23 02:15:42.488567,0.0,2025-01-22 15:30:00.000000,62.21893992770459,7.761802379239999,8.016042780748663,main_point,"B_065,B_059,B_064,B_101,B_042",13000,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
Travel,Sea-River,ST_001 to ST_005,2025-01-22 15:30:00.000000,2025-01-22 20:16:04.102975,0.0,2025-01-22 15:30:00.000000,38.21893992770459,4.767806381908445,8.016042780748663,travel_point,"B_065,B_059,B_064,B_101,B_042",13000,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
Travel,Sea-River,ST_005 to ST_006,2025-01-22 20:16:04.102975,2025-01-23 00:38:24.196371,3.0,2025-01-22 23:16:04.102975,11.0,1.3722481654436292,8.016042780748663,travel_point,"B_065,B_059,B_064,B_101,B_042",13000,0,0.0,0.0,0,SeaTB_05,ODR_001,Sea
