ID,type,name,enter_datetime,start_arrival_datetime,exit_datetime,rest_time,distance,time,speed,type_point,order_trip,barge_ids,total_load,total_load_v2,order_distance,order_time,barge_speed,order_arrival_time,travel_info,station_id,tugboat_id,order_id,water_type
Start,Start,Start at ST_014,2025-01-30 03:15:00.000000,2025-01-30 03:15:00.000000,2025-01-30 03:15:00.000000,0.0,0.0,0.0,0.0,main_point,1,,0,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_009,Sea
Barge,Barge Collection,Barge Location,2025-01-30 03:15:00.000000,2025-01-30 03:15:00.000000,2025-01-30 19:30:00.000000,0.0,63.0,0.0,12.0,main_point,1,"B_075,B_089",800,0,0.0,0,0,2025-01-30 19:30:00,"{'travel_time': 0.0, 'last_location': (13.1885, 100.815), 'speed': 0, 'start_object': <CodeVS.components.carrier.Carrier object at 0x000001B743437AD0>, 'travel_distance': 0.0, 'travel_steps': [<CodeVS.operations.travel_helper.TravelStep object at 0x000001B743743F20>], 'exit_datetime': datetime.datetime(2025, 1, 30, 19, 30)}",ST_014,SeaTB_04,ODR_009,Sea
Barge,Barge Step Collection,Collecting Barge - B_075 - (ST_014 to ST_001),2025-01-30 03:15:00.000000,2025-01-30 03:35:00.000000,2025-01-30 08:50:00.000000,0.3333333333333333,63.0,5.25,12.0,travel_point,1,B_075,400,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_009,Sea
Barge,Barge Step Collection,Collecting Barge - B_089 - (ST_001 to ST_001),2025-01-30 08:50:00.000000,2025-01-30 09:10:00.000000,2025-01-30 09:10:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_075,B_089",800,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_009,Sea
ODR_009,Travel To Carrier,IVS KINGLET,2025-01-30 19:30:00.000000,2025-01-30 19:30:00.000000,2025-01-30 19:30:00.000000,0.0,0.0,0.0,0.0,main_point,1,"B_075,B_089",0,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_009,Sea
Travel,Sea-Sea Empty Barges,ST_001 to ST_001,2025-01-30 19:30:00.000000,2025-01-30 19:30:00.000000,2025-01-30 19:30:00.000000,0.0,0.0,0.0,10.19746835443038,travel_point,1,"B_075,B_089",0,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_009,Sea
ODR_009,Start Order Carrier,IVS KINGLET,2025-01-30 19:30:00.000000,2025-01-30 19:30:00.000000,2025-01-31 04:30:00.000000,0.0,0.0,0.0,0.0,main_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_009,Sea
ODR_009,Crane-Carrier,cr5 - B_075,2025-01-30 19:30:00.000000,2025-01-30 19:30:00.000000,2025-01-31 04:25:42.857143,0.0,0.0,8.928571428571429,280.0,loading_point,1,B_075,2500,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_009,Sea
ODR_009,Crane-Carrier,cr4 - B_089,2025-01-30 19:30:00.000000,2025-01-30 19:30:00.000000,2025-01-30 22:16:40.000000,0.0,0.0,2.7777777777777777,270.0,loading_point,1,B_089,750,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_009,Sea
ST_014,Appointment,From IVS KINGLET To Bang Hua Suea,2025-01-31 04:30:00.000000,2025-01-31 04:30:00.000000,2025-01-31 20:08:12.879441,0.0,62.21893992770459,6.636910956371405,9.374683544303798,main_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_001 to ST_005,2025-01-31 04:30:00.000000,2025-01-31 04:30:00.000000,2025-01-31 08:34:36.568344,0.0,38.21893992770459,4.076824539952285,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_005 to ST_006,2025-01-31 08:34:36.568344,2025-01-31 17:34:36.568344,2025-01-31 18:45:00.710931,9.0,11.0,1.1733729408587632,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_005,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_006 to ST_007,2025-01-31 18:45:00.710931,2025-01-31 18:45:00.710931,2025-01-31 18:57:48.736856,0.0,2.0,0.2133405347015933,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_006,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_007 to ST_008,2025-01-31 18:57:48.736856,2025-01-31 18:57:48.736856,2025-01-31 19:10:36.762781,0.0,2.0,0.2133405347015933,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_007,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_008 to ST_009,2025-01-31 19:10:36.762781,2025-01-31 19:10:36.762781,2025-01-31 19:17:00.775743,0.0,1.0,0.10667026735079665,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_008,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_009 to ST_010,2025-01-31 19:17:00.775743,2025-01-31 19:17:00.775743,2025-01-31 19:42:36.827593,0.0,4.0,0.4266810694031866,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_009,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_010 to ST_011,2025-01-31 19:42:36.827593,2025-01-31 19:42:36.827593,2025-01-31 19:49:00.840555,0.0,1.0,0.10667026735079665,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_010,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_011 to ST_012,2025-01-31 19:49:00.840555,2025-01-31 19:49:00.840555,2025-01-31 19:55:24.853517,0.0,1.0,0.10667026735079665,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_011,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_012 to ST_013,2025-01-31 19:55:24.853517,2025-01-31 19:55:24.853517,2025-01-31 20:01:48.866479,0.0,1.0,0.10667026735079665,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_012,SeaTB_04,ODR_009,Sea
Travel,Sea-River Load Barges,ST_013 to ST_014,2025-01-31 20:01:48.866479,2025-01-31 20:01:48.866479,2025-01-31 20:08:12.879441,0.0,1.0,0.10667026735079665,9.374683544303798,travel_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_013,SeaTB_04,ODR_009,Sea
ST_014,Barge Release,Release Barges (B_075 - B_089),2025-01-31 20:08:12.879441,2025-01-31 20:08:12.879441,2025-01-31 21:08:12.879441,0.0,0.0,60.0,0.0,main_point,1,,0,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_009,Sea
Travel,Barge Step Release,Barge Releasing (B_075),2025-01-31 20:08:12.879441,2025-01-31 20:08:12.879441,2025-01-31 20:38:12.879441,0.0,0.0,0.5,0.0,release_point,1,B_089,750,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_009,Sea
Travel,Barge Step Release,Barge Releasing (B_089),2025-01-31 20:38:12.879441,2025-01-31 20:38:12.879441,2025-01-31 21:08:12.879441,0.0,0.0,0.5,0.0,release_point,1,,0,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_009,Sea
Start,Start,River Start at ST_014,2025-01-31 19:45:00.000000,2025-01-31 19:45:00.000000,2025-01-31 19:45:00.000000,0.0,0.0,0.0,0.0,main_point,1,,0,0,0.0,0,0,0,,ST_014,RiverTB_11,ODR_009,River
ST_014,Barge Change,Change at Bang Hua Suea,2025-01-31 20:30:00.000000,2025-01-31 20:30:00.000000,2025-01-31 21:28:12.879441,0.0,0.0,0.0,12.0,main_point,1,"B_075,B_089",3250,0,0.0,0,0,0,,ST_014,RiverTB_11,ODR_009,River
