load,distance,start_time,end_time,barge_id,order_id,capacity,tugboat_river_id,tugboat_sea_id
1200,3.320028827621071,2025-01-13 09:29:00,2025-01-23 09:29:00,B_001,ODR_001,1200,RiverTB_09,SeaTB_01
1400,3.320028827621071,2025-01-13 09:29:00,2025-01-23 09:29:00,B_002,ODR_001,1400,RiverTB_10,SeaTB_01
2850,3.320028827621071,2025-01-13 09:29:00,2025-01-23 09:29:00,B_003,ODR_001,2850,RiverTB_10,SeaTB_01
2850,3.320028827621071,2025-01-13 09:29:00,2025-01-23 09:29:00,B_004,ODR_001,2850,RiverTB_10,SeaTB_01
2850,3.320028827621071,2025-01-13 09:29:00,2025-01-23 09:29:00,B_005,ODR_001,2850,RiverTB_09,SeaTB_02
2850,3.320028827621071,2025-01-13 09:29:00,2025-01-23 09:29:00,B_006,ODR_001,2850,RiverTB_09,SeaTB_02
1600,3.320028827621071,2025-01-13 09:29:00,2025-01-23 09:29:00,B_007,ODR_001,1600,RiverTB_09,SeaTB_02
400,3.320028827621071,2025-01-13 09:29:00,2025-01-23 09:29:00,B_008,ODR_001,2250,RiverTB_09,SeaTB_02
